row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phươngtiện vận tải,truyền đầnTriệu VND",Tài sản cố định hữu hình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phươngtiện vận tải,truyền đầnTriệu VND",numeric__Tài sản cố định hữu hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm(trình bày lại),Nguyên giá > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),5.833.926,4.852.469,1.208.247,1.842.213,13.736.855,5833926.0,4852469.0,1208247.0,1842213.0,13736855.0
Tăng trong năm- Mua mới- Tăng khác,Nguyên giá > Tăng trong năm- Mua mới- Tăng khác,Tăng trong năm- Mua mới- Tăng khác,235.962235.962-,159.340159.340-,62.49362.493-,90.30188.7481.553,548.096546.5431.553,,,,90301887481553.0,5480965465431553.0
"Giảm trong năm- Thanh lý, nhượng bán- Giảm khác","Giảm trong năm- Thanh lý, nhượng bán- Giảm khác","Giảm trong năm- Thanh lý, nhượng bán- Giảm khác",(24.200)(11.804)(12.396),(268.717)(265.318)(3.399),(24.877)(20.262)(4.615),(16.983)(15.546)(1.437),(334.777)(312.930)(21.847),,,,,
Số dư cuối năm,"Giảm trong năm- Thanh lý, nhượng bán- Giảm khác > Số dư cuối năm",Số dư cuối năm,6.045.688,4.743.092,1.245.863,1.915.531,13.950.174,6045688.0,4743092.0,1245863.0,1915531.0,13950174.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm(trình bày lại),Hao mòn lũy kế > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),1.757.495,4.160.746,819.331,1.436.396,8.173.968,1757495.0,4160746.0,819331.0,1436396.0,8173968.0
Tăng trong năm- Khấu hao- Tăng khác,Hao mòn lũy kế > Tăng trong năm- Khấu hao- Tăng khác,Tăng trong năm- Khấu hao- Tăng khác,251.124250.1241.000,397.036394.9202.116,101.212101.212-,172.708172.708-,922.080918.9643.116,2511242501241000.0,3970363949202116.0,,,9220809189643116.0
"Giảm trong năm- Thanh lý, nhượng bán- Giảm khác","Giảm trong năm- Thanh lý, nhượng bán- Giảm khác","Giảm trong năm- Thanh lý, nhượng bán- Giảm khác",(9.803)(9.803)-,(266.863)(265.288)(1.575),(22.481)(20.262)(2.219),(16.810)(15.513)(1.297),(315.957)(310.866)(5.091),,,,,
Số dư cuối năm,"Giảm trong năm- Thanh lý, nhượng bán- Giảm khác > Số dư cuối năm",Số dư cuối năm,1.998.816,4.290.919,898.062,1.592.294,8.780.091,1998816.0,4290919.0,898062.0,1592294.0,8780091.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm(trình bày lại),Giá trị còn lại > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),4.076.431,691.723,388.916,405.817,5.562.887,4076431.0,691723.0,388916.0,405817.0,5562887.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.046.872,452.173,347.801,323.237,5.170.083,4046872.0,452173.0,347801.0,323237.0,5170083.0
