row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
"Chi phí khấu hao tài sản cố định hữu hình,bắt động sản đầu tư và hao mòn tài sản cốđịnh vô hình (bao gồm phân bổ lợi thếthương mại)","Chi phí khấu hao tài sản cố định hữu hình,bắt động sản đầu tư và hao mòn tài sản cốđịnh vô hình (bao gồm phân bổ lợi thếthương mại)","Chi phí khấu hao tài sản cố định hữu hình,bắt động sản đầu tư và hao mòn tài sản cốđịnh vô hình (bao gồm phân bổ lợi thếthương mại)",525.195.885.440,525.104.012.771,525195885440.0,525104012771.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,219.643.328.543,208.520.994.524,219643328543.0,208520994524.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,235.581.865.865,193.146.226.208,235581865865.0,193146226208.0
Chi phí dự phòng,Chi phí dự phòng,Chi phí dự phòng,116.558.323.113,293.357.395.911,116558323113.0,293357395911.0
Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,17.096.945.806,17.220.415.431,17096945806.0,17220415431.0
Chi phí phát triển bắt động sản để bán,Chi phí phát triển bắt động sản để bán,Chi phí phát triển bắt động sản để bán,3.713.253.864,13.608.850.132,3713253864.0,13608850132.0
Tiền sử dụng đất và thuê đất,Tiền sử dụng đất và thuê đất,Tiền sử dụng đất và thuê đất,214.741.486.006,24.796.069.366,214741486006.0,24796069366.0
Chi phí dự án dùng triển khai,Chi phí dự án dùng triển khai,Chi phí dự án dùng triển khai,2.974.050.220,10.269.613.584,2974050220.0,10269613584.0
Chi phí khác,Chi phí khác,Chi phí khác,49.293.210.655,38.410.675.824,49293210655.0,38410675824.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.384.798.349.512,1.324.434.253.751,1384798349512.0,1324434253751.0
