row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 6 tháng,Từ 6 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 6 tháng,numeric__Từ 6 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,296.645,-,-,-,-,-,-,296.645,,296645.0,,,,,,,296645.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,3.507.305,-,-,-,-,-,3.507.305,,,3507305.0,,,,,,3507305.0
Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,15.073.929,-,-,-,-,-,15.073.929,,,15073929.0,,,,,,15073929.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),10.608.555,-,12.641.886,36.132.504,2.506.986,1.295.618,7.554.251,434.920,71.174.720,10608555.0,,12641886.0,36132504.0,2506986.0,1295618.0,7554251.0,434920.0,71174720.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),31.554,-,-,-,90.655,3.133.049,13.637.271,1.983.264,18.875.793,31554.0,,,,90655.0,3133049.0,13637271.0,1983264.0,18875793.0
"Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,-,719.600,719.600,,,,,,,,719600.0,719600.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,-,922.110,-,-,-,-,-,-,922.110,,922110.0,,,,,,,922110.0
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*),-,6.818.911,159.480,67.830,8.901,2.045.285,2.063.351,146.457,11.310.215,,6818911.0,159480.0,67830.0,8901.0,2045285.0,2063351.0,146457.0,11310215.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,10.640.109,8.037.666,31.382.600,36.200.334,2.606.542,6.473.952,23.254.873,3.284.241,121.880.317,10640109.0,8037666.0,31382600.0,36200334.0,2606542.0,6473952.0,23254873.0,3284241.0,121880317.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi và vay từ NHNN và các TCTD khác,Tiền gửi và vay từ NHNN và các TCTD khác,-,-,10.036.450,-,-,-,-,-,10.036.450,,,10036450.0,,,,,,10036450.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,18.436.403,12.565.520,16.139.921,9.728.223,39.246.798,321,96.117.186,,,18436403.0,12565520.0,16139921.0,9728223.0,39246798.0,321.0,96117186.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,26.844,78.732,(15.971),(3.292),-,-,86.313,,,26844.0,78732.0,-15971.0,-3292.0,,,86313.0
