row_label_raw,row_label_full,col_0,Giá gốc,Giá trị có thể thu hồi,Giá gốc_1,Giá trị có thể thu hồi_1,numeric__Giá gốc,numeric__Giá trị có thể thu hồi,numeric__Giá gốc_1,numeric__Giá trị có thể thu hồi_1
Phạm Duy Khương,Phạm Duy Khương,Phạm Duy Khương,28.471.341.389,-,28.471.341.389,3.114.530.588,28471341389.0,,28471341389.0,3114530588.0
Làng Biệt thư du lịch sinh thái Quận 9,Làng Biệt thư du lịch sinh thái Quận 9,Làng Biệt thư du lịch sinh thái Quận 9,11.250.000.000,-,11.250.000.000,-,11250000000.0,,11250000000.0,
Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,14.852.000.000,-,11.100.000.000,-,14852000000.0,,11100000000.0,
Công ty TNHH Đầu tư và Phát triển Đồng Bắc,Công ty TNHH Đầu tư và Phát triển Đồng Bắc,Công ty TNHH Đầu tư và Phát triển Đồng Bắc,8.111.245.120,-,9.378.293.541,-,8111245120.0,,9378293541.0,
Công ty Cổ phần Chứng khoán Cao su,Công ty Cổ phần Chứng khoán Cao su,Công ty Cổ phần Chứng khoán Cao su,9.184.524.709,-,9.184.524.709,-,9184524709.0,,9184524709.0,
Công ty CP CB và XNK Thủy sản Đồng Tháp,Công ty CP CB và XNK Thủy sản Đồng Tháp,Công ty CP CB và XNK Thủy sản Đồng Tháp,8.956.471.270,-,8.956.471.270,-,8956471270.0,,8956471270.0,
Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,14.852.000.000,-,8.752.000.000,-,14852000000.0,,8752000000.0,
Công ty TNHH SXTMDV Hữu Nghị,Công ty TNHH SXTMDV Hữu Nghị,Công ty TNHH SXTMDV Hữu Nghị,7.843.792.484,-,7.843.792.484,-,7843792484.0,,7843792484.0,
Công ty CP Chứng khoán Delta,Công ty CP Chứng khoán Delta,Công ty CP Chứng khoán Delta,19.984.360.000,-,19.984.360.000,-,19984360000.0,,19984360000.0,
Công ty CP Giấy Ủy Việt,Công ty CP Giấy Ủy Việt,Công ty CP Giấy Ủy Việt,-,-,7.320.890.684,2.008.572.684,,,7320890684.0,2008572684.0
Công ty Vật liệu Xây dựng Xây lắp Bộ thương mại,Công ty Vật liệu Xây dựng Xây lắp Bộ thương mại,Công ty Vật liệu Xây dựng Xây lắp Bộ thương mại,5.007.361.732,-,5.007.361.732,-,5007361732.0,,5007361732.0,
Công ty TNHH MTV Thương mại Vận tải Duy Anh,Công ty TNHH MTV Thương mại Vận tải Duy Anh,Công ty TNHH MTV Thương mại Vận tải Duy Anh,5.806.301.264,270.000.000,5.806.301.264,1.473.550.632,5806301264.0,270000000.0,5806301264.0,1473550632.0
Công ty CP Kết nối Tân Trung Thành,Công ty CP Kết nối Tân Trung Thành,Công ty CP Kết nối Tân Trung Thành,4.262.586.793,-,4.262.586.793,-,4262586793.0,,4262586793.0,
Công ty CP SX - XNK Lâm sản và hàng tiểu thủ Công nghiệp,Công ty CP SX - XNK Lâm sản và hàng tiểu thủ Công nghiệp,Công ty CP SX - XNK Lâm sản và hàng tiểu thủ Công nghiệp,-,-,3.870.681.600,-,,,3870681600.0,
