row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,70.525.624.074.313,63.924.706.134.520,70525624074313.0,63924706134520.0
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,42.413.425.725.616,38.085.287.992.120,42413425725616.0,38085287992120.0
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,25.282.502.240.179,24.135.106.344.808,25282502240179.0,24135106344808.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,2.008.300.492.053,551.651.754.695,2008300492053.0,551651754695.0
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,610.715.690.166,775.236.949.960,610715690166.0,775236949960.0
Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,105.966.620.799,146.708.605.357,105966620799.0,146708605357.0
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,56.423.711.337,92.769.135.854,56423711337.0,92769135854.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,48.082.794.163,137.635.351.726,48082794163.0,137635351726.0
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,206.800.000,310.000.000,206800000.0,310000000.0
Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,49.276.945.688.312,38.126.026.903.935,49276945688312.0,38126026903935.0
,,,119.802.569.762.625,102.050.733.038.455,119802569762625.0,102050733038455.0
