row_label_raw,row_label_full,col_0,Trong nước VND,Nước ngoài VND,Tổng cộng VND,numeric__Trong nước VND,numeric__Nước ngoài VND,numeric__Tổng cộng VND
Tài sản vào ngày 31 tháng 12 năm 2022,Tài sản vào ngày 31 tháng 12 năm 2022,Tài sản vào ngày 31 tháng 12 năm 2022,Tài sản vào ngày 31 tháng 12 năm 2022,Tài sản vào ngày 31 tháng 12 năm 2022,Tài sản vào ngày 31 tháng 12 năm 2022,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản vào ngày 31 tháng 12 năm 2022 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,19.783.840.659.784,852.414.549.115,20.636.255.208.899,19783840659784.0,852414549115.0,20636255208899.0
Chứng khoán kinh doanh,Tài sản vào ngày 31 tháng 12 năm 2022 > Chứng khoán kinh doanh,Chứng khoán kinh doanh,142.837.500.000,-,142.837.500.000,142837500000.0,,142837500000.0
Các công cụ tài chínhphải sinh (tổng giá trị giao dịch theo hợp đồng),Tài sản vào ngày 31 tháng 12 năm 2022 > Các công cụ tài chínhphải sinh (tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chínhphải sinh (tổng giá trị giao dịch theo hợp đồng),37.209.683.499.116,-,37.209.683.499.116,37209683499116.0,,37209683499116.0
Cho vay khách hàng -gộp,Tài sản vào ngày 31 tháng 12 năm 2022 > Cho vay khách hàng -gộp,Cho vay khách hàng -gộp,119.802.569.762.625,-,119.802.569.762.625,119802569762625.0,,119802569762625.0
Hoạt động mua nợ - gộp,Tài sản vào ngày 31 tháng 12 năm 2022 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,667.000.000,-,667.000.000,667000000.0,,667000000.0
Chứng khoán đầu tư -gộp,Tài sản vào ngày 31 tháng 12 năm 2022 > Chứng khoán đầu tư -gộp,Chứng khoán đầu tư -gộp,37.367.365.873.931,-,37.367.365.873.931,37367365873931.0,,37367365873931.0
Công nợ vào ngày 31 tháng 12 năm 2022,Công nợ vào ngày 31 tháng 12 năm 2022,Công nợ vào ngày 31 tháng 12 năm 2022,Công nợ vào ngày 31 tháng 12 năm 2022,Công nợ vào ngày 31 tháng 12 năm 2022,Công nợ vào ngày 31 tháng 12 năm 2022,,,
Tiền gửi và vay các TCTD khác,Công nợ vào ngày 31 tháng 12 năm 2022 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,22.216.396.193.436,422.246.664.997,22.638.642.858.433,22216396193436.0,422246664997.0,22638642858433.0
Tiền gửi của khách hàng,Công nợ vào ngày 31 tháng 12 năm 2022 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,101.023.605.265.803,1.179.584.044.420,102.203.189.310.223,101023605265803.0,1179584044420.0,102203189310223.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Công nợ vào ngày 31 tháng 12 năm 2022 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",178.894.390.481,2.989.580.000.000,3.168.474.390.481,178894390481.0,2989580000000.0,3168474390481.0
Phát hành giấy tờ có giá,Công nợ vào ngày 31 tháng 12 năm 2022 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,32.022.737.500.000,-,32.022.737.500.000,32022737500000.0,,32022737500000.0
Cam kết tín dụng vào ngày 31 tháng 12 năm 2022 - gộp,Công nợ vào ngày 31 tháng 12 năm 2022 > Cam kết tín dụng vào ngày 31 tháng 12 năm 2022 - gộp,Cam kết tín dụng vào ngày 31 tháng 12 năm 2022 - gộp,15.025.504.264.528,-,15.025.504.264.528,15025504264528.0,,15025504264528.0
