row_label_raw,row_label_full,CHỈ TIÊU,TM,Số dư đầu năm > Năm trước,Số dư đầu năm > Năm nay,Số tăng/ giảm trong năm > Năm trước > Tăng,Số tăng/ giảm trong năm > Năm trước > Giảm,Số tăng/ giảm trong năm > Năm nay > Tăng,Số tăng/ giảm trong năm > Năm nay > Giảm,Số dư cuối năm > Năm trước,Số dư cuối năm > Năm nay,numeric__TM,numeric__Số dư đầu năm > Năm trước,numeric__Số dư đầu năm > Năm nay,numeric__Số tăng/ giảm trong năm > Năm trước > Tăng,numeric__Số tăng/ giảm trong năm > Năm trước > Giảm,numeric__Số tăng/ giảm trong năm > Năm nay > Tăng,numeric__Số tăng/ giảm trong năm > Năm nay > Giảm,numeric__Số dư cuối năm > Năm trước,numeric__Số dư cuối năm > Năm nay
3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,1.5.Vốn khác của chủ sở hữu > 3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,79.356.501.981,89.366.336.792,10.009.834.811,,,89.366.336.792,89.366.336.792,,,79356501981.0,89366336792.0,10009834811.0,,,89366336792.0,89366336792.0,
4.Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,4.Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,4.Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,,,,,,,,,,,,,,,,,,
5.Chênh lệch tỷ giá hối doái,5.Chênh lệch tỷ giá hối doái,5.Chênh lệch tỷ giá hối doái,,,,,,,,,,,,,,,,,,
6.Các Quỹ khác thuộc vốn chủ sở hữu,6.Các Quỹ khác thuộc vốn chủ sở hữu,6.Các Quỹ khác thuộc vốn chủ sở hữu,,,,,,,,,,,,,,,,,,
7. Lợi nhuận chưa phân phối,6.Các Quỹ khác thuộc vốn chủ sở hữu > 7. Lợi nhuận chưa phân phối,7. Lợi nhuận chưa phân phối,,639.339.623.569,1.328.328.207.377,878.321.063.801,189.332.479.993,566.262.129.644,497.242.851.948,1.328.328.207.377,1.397.347.485.073,,639339623569.0,1328328207377.0,878321063801.0,189332479993.0,566262129644.0,497242851948.0,1328328207377.0,1397347485073.0
7.1. Lợi nhuận sau thuế đã thực hiện (****),6.Các Quỹ khác thuộc vốn chủ sở hữu > 7.1. Lợi nhuận sau thuế đã thực hiện (****),7.1. Lợi nhuận sau thuế đã thực hiện (****),,395.337.806.819,828.650.159.011,590.298.811.286,156.986.459.094,514.815.998.173,249.206.123.045,828.650.159.011,1.094.260.034.139,,395337806819.0,828650159011.0,590298811286.0,156986459094.0,514815998173.0,249206123045.0,828650159011.0,1094260034139.0
7.2. Lợi nhuận chưa thực hiện,6.Các Quỹ khác thuộc vốn chủ sở hữu > 7.2. Lợi nhuận chưa thực hiện,7.2. Lợi nhuận chưa thực hiện,,244.001.816.750,499.678.048.366,288.022.252.515,32.346.020.899,51.446.131.471,248.036.728.903,499.678.048.366,303.087.450.934,,244001816750.0,499678048366.0,288022252515.0,32346020899.0,51446131471.0,248036728903.0,499678048366.0,303087450934.0
Công,6.Các Quỹ khác thuộc vốn chủ sở hữu > Công,Công,,2.202.166.223.231,2.982.643.887.261,1.050.954.981.673,270.477.317.643,1.041.066.424.394,675.680.568.432,2.982.643.887.261,3.348.029.743.223,,2202166223231.0,2982643887261.0,1050954981673.0,270477317643.0,1041066424394.0,675680568432.0,2982643887261.0,3348029743223.0
II. Thu nhập toàn diện khác,II. Thu nhập toàn diện khác,II. Thu nhập toàn diện khác,,,,,,,,,,,,,,,,,,
Công,Công,Công,,,,,,,,,,,,,,,,,,
