row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,6.642.060.180.065,6.248.596.742.937,,400.0,,6642060180065.0,6248596742937.0
I.,I.,I.,Vốn chủ sở hữu,410,29,6.598.180.225.237,6.202.889.498.659,,410.0,29.0,6598180225237.0,6202889498659.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,4.483.500.000.000,4.483.500.000.000,,411.0,,4483500000000.0,4483500000000.0
1.,1.,1.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,4.483.500.000.000,4.483.500.000.000,,,,4483500000000.0,4483500000000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,931.212.247.586,931.212.247.586,,412.0,,931212247586.0,931212247586.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,176.246.955.023,134.258.872.049,,418.0,,176246955023.0,134258872049.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,1.007.221.022.628,653.918.379.024,,421.0,,1007221022628.0,653918379024.0
4.,4.,4.,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,74.024.839.306,47.457.223.980,,,,74024839306.0,47457223980.0
4.,4.,4.,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,933.196.183.322,606.461.155.044,,,,933196183322.0,606461155044.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,43.879.954.828,45.707.244.278,,430.0,,43879954828.0,45707244278.0
1.,1.,1.,Nguồn kinh phí đã hình thành tài sản cố định,432,30,43.879.954.828,45.707.244.278,,432.0,30.0,43879954828.0,45707244278.0
,,,TỔNG CỘNG NGUỒN VỐN(440=300+400),440,,14.649.159.889.802,13.627.695.072.727,,440.0,,14649159889802.0,13627695072727.0
