row_label_raw,row_label_full,Giá trị đầu tư: > Số đầu năm > Số cuối năm,Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng > Giá trị đầu tư: > 96.000.000.000,Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2 > Giá trị đầu tư: > 583.000.000.000,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội > Giá trị đầu tư: > 540.000.000.000,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn > Giá trị đầu tư: > 582.461.891.074,Công ty TNHH Saigontel Long An (*) > Giá trị đầu tư: > 175.000.000.000,Công ty Cổ phần Scanviwood > Giá trị đầu tư: > 7.204.600.000,Đơn vị tính: VND > Giá trị đầu tư: > 1.983.666.491.074,numeric__Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng > Giá trị đầu tư: > 96.000.000.000,numeric__Công ty Cổ phần Đầu tư Khu Công nghiệp Lê Minh Xuân 2 > Giá trị đầu tư: > 583.000.000.000,numeric__Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội > Giá trị đầu tư: > 540.000.000.000,numeric__Công ty Cổ phần Công nghệ Viễn thông Sài Gòn > Giá trị đầu tư: > 582.461.891.074,numeric__Công ty TNHH Saigontel Long An (*) > Giá trị đầu tư: > 175.000.000.000,numeric__Công ty Cổ phần Scanviwood > Giá trị đầu tư: > 7.204.600.000,numeric__Đơn vị tính: VND > Giá trị đầu tư: > 1.983.666.491.074
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,,,,,
Số đầu năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,2.152.019.279.249,(653.942.165),395.130.550.379,12.294.777.620,(1.260.473.516),(2.607.003.869),2.554.923.187.698,2152019279249.0,-653942165.0,395130550379.0,12294777620.0,-1260473516.0,-2607003869.0,2554923187698.0
Phần chia lợi nhuận/(lỗ),Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Phần chia lợi nhuận/(lỗ),Phần chia lợi nhuận/(lỗ),(22.094.167.590),(318.117.200),13.848.251.829,28.481.439.436,(4.004.453.116),-,15.912.953.359,-22094167590.0,-318117200.0,13848251829.0,28481439436.0,-4004453116.0,,15912953359.0
Số cuối năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,2.129.925.111.659,(972.059.365),408.978.802.208,40.776.217.056,(5.264.926.632),(2.607.003.869),2.570.836.141.057,2129925111659.0,-972059365.0,408978802208.0,40776217056.0,-5264926632.0,-2607003869.0,2570836141057.0
Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,,,,,,,
Số đầu năm,Lợi thế thương mại đã phân bổ: > Số đầu năm,Số đầu năm,-,-,-,160.227.726.386,-,-,160.227.726.386,,,,160227726386.0,,,160227726386.0
Số cuối năm,Lợi thế thương mại đã phân bổ: > Số cuối năm,Số cuối năm,-,-,-,160.227.726.386,-,-,160.227.726.386,,,,160227726386.0,,,160227726386.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.248.019.279.249,582.346.057.835,935.130.550.379,434.528.942.308,173.739.526.484,4.597.596.131,4.378.361.952.386,2248019279249.0,582346057835.0,935130550379.0,434528942308.0,173739526484.0,4597596131.0,4378361952386.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.225.925.111.659,582.027.940.635,948.978.802.208,463.010.381.744,169.735.073.368,4.597.596.131,4.394.274.905.745,2225925111659.0,582027940635.0,948978802208.0,463010381744.0,169735073368.0,4597596131.0,4394274905745.0
Giá trị hợp lý tại ngày 31 tháng 12 năm 2024,Giá trị còn lại: > Giá trị hợp lý tại ngày 31 tháng 12 năm 2024,Giá trị hợp lý tại ngày 31 tháng 12 năm 2024,(i),(i),(i),548.807.843.500,(i),(i),(i),,,,548807843500.0,,,
