row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Nông nghiệp VND,Sản xuất công nghiệp khác VND,Bất động sản VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Nông nghiệp VND,numeric__Sản xuất công nghiệp khác VND,numeric__Bất động sản VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Cho năm kết thúc ngày 31 tháng 12 năm 2020,,,,,,
Doanh thu thuần ra bên ngoài,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Doanh thu thuần ra bên ngoài,Doanh thu thuần ra bên ngoài,76.334.474.996.918,10.552.656.907.339,2.504.998.384.841,726.373.137.619,-,90.118.503.426.717,76334474996918.0,10552656907339.0,2504998384841.0,726373137619.0,,90118503426717.0
Doanh thu thuần giữa các bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,42.544.569.455.245,1.284.031.840,153.719.133.088,70.106.130.158,(42.769.678.750.331),-,42544569455245.0,1284031840.0,153719133088.0,70106130158.0,-42769678750331.0,
Tổng doanh thu của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,118.879.044.452.163,10.553.940.939.179,2.658.717.517.929,796.479.267.777,(42.769.678.750.331),90.118.503.426.717,118879044452163.0,10553940939179.0,2658717517929.0,796479267777.0,-42769678750331.0,90118503426717.0
Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,28.657.042.061.931,1.822.906.054.607,399.332.628.236,497.988.020.815,(16.086.929.588.361),15.290.339.177.228,28657042061931.0,1822906054607.0,399332628236.0,497988020815.0,-16086929588361.0,15290339177228.0
Thu nhập khác,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Thu nhập khác,Thu nhập khác,644.294.025.919,4.676.396.177,3.427.810.867,4.180.309.411,(2.497.208.149),654.081.334.225,644294025919.0,4676396177.0,3427810867.0,4180309411.0,-2497208149.0,654081334225.0
Chi phí khác,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Chi phí khác,Chi phí khác,(548.515.585.353),(35.909.688.381),(3.863.882.182),(2.252.866.517),1.123.670.917,(589.418.351.516),-548515585353.0,-35909688381.0,-3863882182.0,-2252866517.0,1123670917.0,-589418351516.0
Phân lãi trong công ty liên kết,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Phân lãi trong công ty liên kết,Phân lãi trong công ty liên kết,-,1.964.631.764,-,-,-,1.964.631.764,,1964631764.0,,,,1964631764.0
Chi phí thuế thu nhập doanh nghiệp hiện hành (Chi phí)/lợi ích thuế thu nhập hoãn lại,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Chi phí thuế thu nhập doanh nghiệp hiện hành (Chi phí)/lợi ích thuế thu nhập hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành (Chi phí)/lợi ích thuế thu nhập hoãn lại,(1.515.190.441.976),(123.438.628.112),(86.027.103.992),(59.911.669.786),-,(1.784.567.843.866),-1515190441976.0,-123438628112.0,-86027103992.0,-59911669786.0,,-1784567843866.0
Chi phí thuế thu nhập doanh nghiệp hiện hành (Chi phí)/lợi ích thuế thu nhập hoãn lại,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Chi phí thuế thu nhập doanh nghiệp hiện hành (Chi phí)/lợi ích thuế thu nhập hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành (Chi phí)/lợi ích thuế thu nhập hoãn lại,1.292.727.824,6.675.417.414,4.053.235.681,(39.020.450.326),(39.235.821.521),(66.234.890.928),1292727824.0,6675417414.0,4053235681.0,-39020450326.0,-39235821521.0,-66234890928.0
Lợi nhuận thuần sau thuế,Cho năm kết thúc ngày 31 tháng 12 năm 2020 > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,27.238.922.788.345,1.676.874.183.469,316.922.688.610,400.983.343.597,(16.127.538.947.114),13.506.164.056.907,27238922788345.0,1676874183469.0,316922688610.0,400983343597.0,-16127538947114.0,13506164056907.0
