row_label_raw,row_label_full,Chỉ tiêu,Máy móc thiết bị,Đơn vị tính: VND Tổng cộng,numeric__Máy móc thiết bị,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư ngày 01/01/2017,Số dư ngày 01/01/2017,Số dư ngày 01/01/2017,-,-,,
Thuê tài chính trong năm,Số dư ngày 01/01/2017 > Thuê tài chính trong năm,Thuê tài chính trong năm,10.604.545.454,10.604.545.454,10604545454.0,10604545454.0
Số dư ngày 31/12/2017,Số dư ngày 01/01/2017 > Số dư ngày 31/12/2017,Số dư ngày 31/12/2017,10.604.545.454,10.604.545.454,10604545454.0,10604545454.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư ngày 01/01/2017,Số dư ngày 01/01/2017,Số dư ngày 01/01/2017,-,-,,
Khẩu hao trong năm,Số dư ngày 01/01/2017 > Khẩu hao trong năm,Khẩu hao trong năm,28.817.843,28.817.843,28817843.0,28817843.0
Số dư ngày 31/12/2017,Số dư ngày 01/01/2017 > Số dư ngày 31/12/2017,Số dư ngày 31/12/2017,28.817.843,28.817.843,28817843.0,28817843.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,-,-,,
Tại ngày 31/12/2017,Tại ngày 01/01/2017 > Tại ngày 31/12/2017,Tại ngày 31/12/2017,10.575.727.611,10.575.727.611,10575727611.0,10575727611.0
