row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,10.537.670.102.842,12.239.023.143.859,,100.0,,10537670102842.0,12239023143859.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,472.726.154.699,380.351.719.636,,110.0,,472726154699.0,380351719636.0
1.,1.,1.,Tiền,111,,469.519.990.315,336.586.403.005,,111.0,,469519990315.0,336586403005.0
2.,2.,2.,Các khoản tương đương tiền,112,,3.206.164.384,43.765.316.631,,112.0,,3206164384.0,43765316631.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,74.965.191.106,168.013.413.032,,120.0,,74965191106.0,168013413032.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2a,21.381.661.250,21.381.661.250,,121.0,,21381661250.0,21381661250.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,(1.064.024.110),,122.0,,,-1064024110.0
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2b,53.583.529.856,147.695.775.892,,123.0,,53583529856.0,147695775892.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,7.444.897.297.646,8.809.223.269.064,,130.0,,7444897297646.0,8809223269064.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3a,3.396.821.927.049,4.023.892.620.554,,131.0,,3396821927049.0,4023892620554.0
2.,2.,2.,Trà trước cho người bán ngắn hạn,132,V.4,355.730.441.621,427.494.335.393,,132.0,,355730441621.0,427494335393.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,V.5a,2.687.664.213.058,3.183.735.324.572,,135.0,,2687664213058.0,3183735324572.0
6.,6.,6.,Phải thu ngắn hạn khác,136,V.6a,1.328.560.614.579,1.567.898.783.789,,136.0,,1328560614579.0,1567898783789.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(333.709.533.898),(408.235.197.002),,137.0,,-333709533898.0,-408235197002.0
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,9.829.635.237,14.437.401.758,,139.0,,9829635237.0,14437401758.0
IV.,IV.,IV.,Hàng tồn kho,140,,2.334.041.247.073,2.687.961.259.674,,140.0,,2334041247073.0,2687961259674.0
1.,1.,1.,Hàng tồn kho,141,V.8,2.334.185.913.073,2.687.961.259.674,,141.0,,2334185913073.0,2687961259674.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,V.8,(144.666.000),-,,149.0,,-144666000.0,
V.,V.,V.,Tài sản ngắn hạn khác,150,,211.040.212.318,193.473.482.453,,150.0,,211040212318.0,193473482453.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.9a,62.506.570.314,63.730.693.431,,151.0,,62506570314.0,63730693431.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,145.936.379.226,123.056.094.944,,152.0,,145936379226.0,123056094944.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.16,2.597.262.778,6.686.694.078,,153.0,,2597262778.0,6686694078.0
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5,5,5,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
