row_label_raw,row_label_full,col_0,Môi giới và dịch vụ khách hàng (1) VND,Tự doanh VND,Kinh doanh nguồn vốn VND,Quản lý danh mục VND,Ngah hàng dào tư và các bộ phận khác VND,Tổng cộng VND,numeric__Môi giới và dịch vụ khách hàng (1) VND,numeric__Tự doanh VND,numeric__Kinh doanh nguồn vốn VND,numeric__Quản lý danh mục VND,numeric__Ngah hàng dào tư và các bộ phận khác VND,numeric__Tổng cộng VND
Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,,,,,,
1. Doanh thu thuần hoạt động kinh doanh chứng khoản,Năm 2017 > 1. Doanh thu thuần hoạt động kinh doanh chứng khoản,1. Doanh thu thuần hoạt động kinh doanh chứng khoản,1.328.228.530.233,1.060.765.430.586,487.409.573.498,54.625.596.781,122.377.391.349,3.053.406.522.447,1328228530233.0,1060765430586.0,487409573498.0,54625596781.0,122377391349.0,3053406522447.0
2. Các chi phí trực tiếp,Năm 2017 > 2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,576.680.904.667,499.054.518.576,320.741.963.916,6.887.284.443,79.482.128.456,1.482.846.800.058,576680904667.0,499054518576.0,320741963916.0,6887284443.0,79482128456.0,1482846800058.0
3. Khấu hao và các chi phí phân bổ,Năm 2017 > 3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,96.012.221.747,23.589.209.653,13.243.065.069,7.863.069.883,24.830.747.004,165.538.313.356,96012221747.0,23589209653.0,13243065069.0,7863069883.0,24830747004.0,165538313356.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Năm 2017 > Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,655.535.403.819,538.121.702.357,153.424.544.513,39.875.242.455,18.064.515.889,1.405.021.409.033,655535403819.0,538121702357.0,153424544513.0,39875242455.0,18064515889.0,1405021409033.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2017 > 1. Tài sản bộ phận,1. Tài sản bộ phận,5.776.122.886.608,4.207.210.509.095,8.102.293.359.554,39.473.731.563,74.514.003.173,18.199.614.489.993,5776122886608.0,4207210509095.0,8102293359554.0,39473731563.0,74514003173.0,18199614489993.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2017 > 2. Tài sản phân bổ,2. Tài sản phân bổ,162.693.458.911,39.972.099.819,22.440.477.091,13.324.033.273,42.075.894.546,280.505.963.640,162693458911.0,39972099819.0,22440477091.0,13324033273.0,42075894546.0,280505963640.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2017 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,-,284.254.718.215,,,,,,284254718215.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2017 > Tổng tài sản,Tổng tài sản,5.938.816.345.519,4.247.182.608.914,8.124.733.836.645,52.797.764.836,116.589.897.719,18.764.375.171.848,5938816345519.0,4247182608914.0,8124733836645.0,52797764836.0,116589897719.0,18764375171848.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2017 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,512.609.362.438,363.305.228.278,8.696.615.934.198,3.729.106.053,7.034.487.831,9.583.294.118.798,512609362438.0,363305228278.0,8696615934198.0,3729106053.0,7034487831.0,9583294118798.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2017 > 5. Nợ phân bổ,5. Nợ phân bổ,134.319.418.768,33.000.891.680,18.526.816.382,11.000.297.227,34.737.780.716,231.585.204.773,134319418768.0,33000891680.0,18526816382.0,11000297227.0,34737780716.0,231585204773.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2017 > 6. Nợ không phân bổ,6. Nợ không phân bổ,-,-,-,-,-,333.246.152.375,,,,,,333246152375.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2017 > Tổng công nợ,Tổng công nợ,646.928.781.206,396.306.119.958,8.715.142.750.580,14.729.403.280,41.772.268.547,10.148.125.475.946,646928781206.0,396306119958.0,8715142750580.0,14729403280.0,41772268547.0,10148125475946.0
