row_label_raw,row_label_full,7 PHẢI THU KHÁC,7 PHẢI THU KHÁC_1,7 PHẢI THU KHÁC_2,7 PHẢI THU KHÁC_3,7 PHẢI THU KHÁC_4,numeric__7 PHẢI THU KHÁC_1,numeric__7 PHẢI THU KHÁC_2,numeric__7 PHẢI THU KHÁC_3,numeric__7 PHẢI THU KHÁC_4
(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,,,,
,,,2020,2020,2019,2019,2020.0,2020.0,2019.0,2019.0
,,,Giá trị VND,Dự phòng VND,Giá trị VND,Dự phòng VND,,,,
Dự thu tạm tính doanh thu bán và vận chuyển khí,(a) Ngắn hạn > Dự thu tạm tính doanh thu bán và vận chuyển khí,Dự thu tạm tính doanh thu bán và vận chuyển khí,4.284.520.495.820,-,4.599.248.482.276,-,4284520495820.0,,4599248482276.0,
Phải thu tiền bảo lãnh (*),(a) Ngắn hạn > Phải thu tiền bảo lãnh (*),Phải thu tiền bảo lãnh (*),397.125.337.804,(252.250.383.056),504.791.197.738,(255.788.436.148),397125337804.0,-252250383056.0,504791197738.0,-255788436148.0
Dự thu lãi tiền gửi,(a) Ngắn hạn > Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,215.716.216.665,-,403.812.553.196,-,215716216665.0,,403812553196.0,
Khác,(a) Ngắn hạn > Khác,Khác,99.205.406.099,(50.000.000.000),86.757.420.205,(50.000.000.000),99205406099.0,-50000000000.0,86757420205.0,-50000000000.0
,,,4.996.567.456.388,(302.250.383.056),5.594.609.653.415,(305.788.436.148),4996567456388.0,-302250383056.0,5594609653415.0,-305788436148.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,,,
Bên liên quan (Thuyết minh 34(b)),Trong đó > Bên liên quan (Thuyết minh 34(b)),Bên liên quan (Thuyết minh 34(b)),1.479.315.205.149,(302.250.383.056),1.845.174.447.290,(305.788.436.148),1479315205149.0,-302250383056.0,1845174447290.0,-305788436148.0
Bên thứ ba,Trong đó > Bên thứ ba,Bên thứ ba,3.517.252.251.239,-,3.749.435.206.125,-,3517252251239.0,,3749435206125.0,
,,,4.996.567.456.388,(302.250.383.056),5.594.609.653.415,(305.788.436.148),4996567456388.0,-302250383056.0,5594609653415.0,-305788436148.0
