row_label_raw,row_label_full,A - TÀI SẢN,Thuyết minh,Số cuối năm,Đơn vị tính: triệu VND,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: triệu VND
"I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý",V.1,694.761,519.751,,694761.0,519751.0
II. Tiền gửi tại Ngân hàng Nhà nước,II. Tiền gửi tại Ngân hàng Nhà nước,II. Tiền gửi tại Ngân hàng Nhà nước,V.2,2.998.548,1.852.903,,2998548.0,1852903.0
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD","III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD","III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD",,9.877.201,5.399.327,,9877201.0,5399327.0
"1. Tiền, vàng gửi tại các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",V.3,9.877.201,5.399.327,,9877201.0,5399327.0
2. Cho vay các TCTD khác,2. Cho vay các TCTD khác,2. Cho vay các TCTD khác,,-,-,,,
3. Dự phòng rủi ro,3. Dự phòng rủi ro,3. Dự phòng rủi ro,,-,-,,,
IV. Chứng khoán kinh doanh,IV. Chứng khoán kinh doanh,IV. Chứng khoán kinh doanh,,-,-,,,
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,,-,-,,,
2. Dự phòng rủi ro chứng khoán kinh doanh,2. Dự phòng rủi ro chứng khoán kinh doanh,2. Dự phòng rủi ro chứng khoán kinh doanh,,-,-,,,
V. Công cụ tài chính phái sinh và các tài sản tài chính khác,2. Dự phòng rủi ro chứng khoán kinh doanh > V. Công cụ tài chính phái sinh và các tài sản tài chính khác,V. Công cụ tài chính phái sinh và các tài sản tài chính khác,V.4,853,987,,853.0,987.0
VI. Cho vay khách hàng,2. Dự phòng rủi ro chứng khoán kinh doanh > VI. Cho vay khách hàng,VI. Cho vay khách hàng,,33.183.657,29.216.772,,33183657.0,29216772.0
1. Cho vay khách hàng,2. Dự phòng rủi ro chứng khoán kinh doanh > 1. Cho vay khách hàng,1. Cho vay khách hàng,V.5,33.479.645,29.471.994,,33479645.0,29471994.0
2. Dự phòng rủi ro cho vay khách hàng,2. Dự phòng rủi ro chứng khoán kinh doanh > 2. Dự phòng rủi ro cho vay khách hàng,2. Dự phòng rủi ro cho vay khách hàng,V.6,(295.988),(255.222),,-295988.0,-255222.0
VII. Hoạt động mua nợ,VII. Hoạt động mua nợ,VII. Hoạt động mua nợ,,-,-,,,
1. Mua nợ,1. Mua nợ,1. Mua nợ,,-,-,,,
