row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,7.467.178.610.000,9.631.106.345.096,(1.488.971.806.985),-,1.508.489.710.494,17.117.802.858.605,7467178610000.0,9631106345096.0,-1488971806985.0,,1508489710494.0,17117802858605.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,213.578.130.000,1.018.690.000.000,-,-,-,1.232.268.130.000,213578130000.0,1018690000000.0,,,,1232268130000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,798.057.784.934,798.057.784.934,,,,,798057784934.0,798057784934.0
Giao dịch vốn chủ sở hữu,Giao dịch vốn chủ sở hữu,Giao dịch vốn chủ sở hữu,-,-,(206.366.375.583),-,-,(206.366.375.583),,,-206366375583.0,,,-206366375583.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,-,(641.110.498.916),-,(641.110.498.916),,,,-641110498916.0,,-641110498916.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,(2.276.524.392.000),(2.276.524.392.000),,,,,-2276524392000.0,-2276524392000.0
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,7.680.756.740.000,10.649.796.345.096,(1.695.338.182.568),(641.110.498.916),30.023.103.428,16.024.127.507.040,7680756740000.0,10649796345096.0,-1695338182568.0,-641110498916.0,30023103428.0,16024127507040.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,3.794.207.000.000,(3.794.207.000.000),-,-,-,-,3794207000000.0,-3794207000000.0,,,,
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,98.776.000.000,(50.000.000),-,-,-,98.726.000.000,98776000000.0,-50000000.0,,,,98726000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.353.394.543.016,1.353.394.543.016,,,,,1353394543016.0,1353394543016.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,-,(5.876.976.565.699),-,(5.876.976.565.699),,,,-5876976565699.0,,-5876976565699.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,11.573.739.740.000,6.855.539.345.096,(1.695.338.182.568),(6.518.087.064.615),1.383.417.646.444,11.599.271.484.357,11573739740000.0,6855539345096.0,-1695338182568.0,-6518087064615.0,1383417646444.0,11599271484357.0
