row_label_raw,row_label_full,col_0,Giá trị giao dịch cho năm,Giá trị giao dịch cho năm_1,numeric__Giá trị giao dịch cho năm,numeric__Giá trị giao dịch cho năm_1
,,,2020VND,2019VND,,
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,,
Mua điện,Tập đoàn Điện lực Việt Nam > Mua điện,Mua điện,3.500.856.770,3.151.575.218,3500856770.0,3151575218.0
Chi phí lãi vay,Tập đoàn Điện lực Việt Nam > Chi phí lãi vay,Chi phí lãi vay,10.543.875.442,17.984.767.536,10543875442.0,17984767536.0
Trà nợ gốc vay,Tập đoàn Điện lực Việt Nam > Trà nợ gốc vay,Trà nợ gốc vay,433.698.824.858,506.555.119.580,433698824858.0,506555119580.0
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,
Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,,
Thu nhập lãi cho vay,Tổng Công ty Phát điện 1 > Thu nhập lãi cho vay,Thu nhập lãi cho vay,71.620.714.107,72.182.827.268,71620714107.0,72182827268.0
Chi hộ,Tổng Công ty Phát điện 1 > Chi hộ,Chi hộ,222.432.861,149.897.000,222432861.0,149897000.0
Chia cổ tức,Tổng Công ty Phát điện 1 > Chia cổ tức,Chia cổ tức,1.013.047.440.000,717.575.270.000,1013047440000.0,717575270000.0
Cho vay,Tổng Công ty Phát điện 1 > Cho vay,Cho vay,500.000.000.000,-,500000000000.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,,
Bán điện,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam > Bán điện,Bán điện,1.606.097.833.456,2.108.835.010.810,1606097833456.0,2108835010810.0
Tổng Công ty điện lực Miền Nam,Tổng Công ty điện lực Miền Nam,Tổng Công ty điện lực Miền Nam,Tổng Công ty điện lực Miền Nam,Tổng Công ty điện lực Miền Nam,,
Bán điện,Tổng Công ty điện lực Miền Nam > Bán điện,Bán điện,69.166.881.191,68.270.759.690,69166881191.0,68270759690.0
Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,,
Cổ tức được chia,Công ty Cổ phần Thủy điện A Vương > Cổ tức được chia,Cổ tức được chia,2.579.069.000,3.868.603.500,2579069000.0,3868603500.0
Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,,
Cổ tức được chia,Công ty Cổ phần Thủy điện Sông Ba Hạ > Cổ tức được chia,Cổ tức được chia,640.000.000,5.120.000.000,640000000.0,5120000000.0
Công ty Cổ phần Tư vấn Xây dựng Điện 1,Công ty Cổ phần Tư vấn Xây dựng Điện 1,Công ty Cổ phần Tư vấn Xây dựng Điện 1,Công ty Cổ phần Tư vấn Xây dựng Điện 1,Công ty Cổ phần Tư vấn Xây dựng Điện 1,,
Mua dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 1 > Mua dịch vụ,Mua dịch vụ,226.316.429,-,226316429.0,
Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,,
Mua dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 2 > Mua dịch vụ,Mua dịch vụ,2.545.534.865,10.669.437.578,2545534865.0,10669437578.0
Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,,
Cung cấp dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 3 > Cung cấp dịch vụ,Cung cấp dịch vụ,270.767.526,1.462.159.689,270767526.0,1462159689.0
Mua dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 3 > Mua dịch vụ,Mua dịch vụ,5.484.457.991,9.318.304.769,5484457991.0,9318304769.0
Công ty Cổ phần Xây lắp Điện 1,Công ty Cổ phần Xây lắp Điện 1,Công ty Cổ phần Xây lắp Điện 1,Công ty Cổ phần Xây lắp Điện 1,Công ty Cổ phần Xây lắp Điện 1,,
Mua dịch vụ,Công ty Cổ phần Xây lắp Điện 1 > Mua dịch vụ,Mua dịch vụ,4.960.786.136,-,4960786136.0,
