row_label_raw,row_label_full,col_0,VND,USD,Vàng,EUR,JPY,AUD,CAD,Khác,Tổng cộng,numeric__VND,numeric__USD,numeric__Vàng,numeric__EUR,numeric__JPY,numeric__AUD,numeric__CAD,numeric__Khác,numeric__Tổng cộng
Tài sản có định,Tài sản > Tài sản có định,Tài sản có định,3.782.753,-,-,-,-,-,-,-,3.782.753,3782753.0,,,,,,,,3782753.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,348.778,-,-,-,-,-,-,-,348.778,348778.0,,,,,,,,348778.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),6.986.262,851.615,3.919,5.833,2.275,-,9,5,7.849.918,6986262.0,851615.0,3919.0,5833.0,2275.0,,9.0,5.0,7849918.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,439.009.825,8.814.554,403.623,181.021,459.217,44.415,18.730,68.740,449.000.125,439009825.0,8814554.0,403623.0,181021.0,459217.0,44415.0,18730.0,68740.0,449000125.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,22.509.021,1.358.134,-,5.815,2.272,-,-,-,23.875.242,22509021.0,1358134.0,,5815.0,2272.0,,,,23875242.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,343.061.115,9.593.584,-,125.589,375.483,17.741,4.898,17.428,353.195.838,343061115.0,9593584.0,,125589.0,375483.0,17741.0,4898.0,17428.0,353195838.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",90.439,-,-,-,26.266,-,-,-,116.705,90439.0,,,,26266.0,,,,116705.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,22.049.697,-,-,-,-,-,-,-,22.049.697,22049697.0,,,,,,,,22049697.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,9.375.570,401.280,-,23.085,26.333,4.787,6.911,6.493,9.844.459,9375570.0,401280.0,,23085.0,26333.0,4787.0,6911.0,6493.0,9844459.0
Vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Vốn chủ sở hữu,Vốn chủ sở hữu,35.448.163,-,-,-,-,-,-,-,35.448.163,35448163.0,,,,,,,,35448163.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,432.534.005,11.352.998,-,154.489,430.354,22.528,11.809,23.921,444.530.104,432534005.0,11352998.0,,154489.0,430354.0,22528.0,11809.0,23921.0,444530104.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,6.475.820,(2.538.444),403.623,26.532,28.863,21.887,6.921,44.819,4.470.021,6475820.0,-2538444.0,403623.0,26532.0,28863.0,21887.0,6921.0,44819.0,4470021.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(10.938.750),(3.964.792),-,(215.274),(96.988),890,906,(14.623),(15.228.631),-10938750.0,-3964792.0,,-215274.0,-96988.0,890.0,906.0,-14623.0,-15228631.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(4.462.930),(6.503.236),403.623,(188.742),(68.125),22.777,7.827,30.196,(10.758.610),-4462930.0,-6503236.0,403623.0,-188742.0,-68125.0,22777.0,7827.0,30196.0,-10758610.0
